question,document
"Quick homemade applesauce recipe with apples and cinnamon, about 25 minutes?",2
"What’s an easy apple dessert I can make with apples, oats, brown sugar, and butter in about an hour?",5
"Quick 20 minute dessert with apples, cinnamon, and butter?",9
What can I make with apples and puff pastry in about an hour?,10
I have apples and butter on hand and about an hour — what’s an easy apple crisp recipe?,11
I have a few apples and want a quick 20-minute dessert — what can I make?,14
How do I make canned apple pie filling at home with a bunch of apples and about an hour?,16
I have apples and pie crusts — what's an easy apple pie recipe that takes about an hour?,17
Quick caramel apple recipe with just apples and caramels — about 25 minutes?,19
"I have apples, eggs, flour, and cinnamon — what’s a simple cake I can make in about an hour?",20
What’s a quick 45-minute recipe for apple cinnamon muffins?,24
"Quick apple dessert I can make in about 35 minutes with apples, flour, eggs, and milk?",26
Quick dessert idea in 30 minutes with apple pie filling and cinnamon?,27
Quick apple muffin recipe with apples and pantry staples — ready in about 45 minutes?,28
I have a bunch of apples and cinnamon — what’s an easy baked apple recipe I can make in about an hour?,29
What’s a quick 20-minute salad recipe with apples and celery?,30
"Quick homemade applesauce recipe with apples and cinnamon, about 25 minutes?",33
"I have a few apples and oats, and I want an easy dessert that takes about an hour — what can I make?",36
"What’s an easy 20-minute dessert or side dish I can make with apples, butter, sugar, and cinnamon?",40
I have some apples and puff pastry — what’s a quick dessert I can make in about an hour?,41
I have apples and butter on hand—what's an easy apple dessert I can make in about an hour?,42
I have a few apples and want a quick 20-minute dessert—any easy recipe for sautéed apples with cinnamon?,45
I have a bunch of apples and about an hour — how do I make canned apple pie filling at home?,47
I have apples and pie crust on hand — can you suggest an easy apple pie recipe that takes about an hour?,48
"Quick caramel apple recipe with apples and caramels, ready in about 25 minutes?",50
"I have apples, eggs, flour, and cinnamon — can you suggest a simple German apple cake recipe that takes about an hour?",51
"I’ve got apples, flour, milk, and cinnamon — what’s an easy muffin recipe I can make in about 45 minutes?",55
Quick apple fritters recipe I can make in about 35 minutes?,57
"Quick apple dessert recipe, about 30 minutes, using apple pie filling and brown sugar",58
I have apples and about 45 minutes — can you suggest an easy muffin recipe?,59
"What can I make with apples, cinnamon, and brown sugar in about an hour?",60
I need a quick 20-minute salad recipe with apples and celery — what can I make?,61
"Quick applesauce recipe with apples and cinnamon, ready in about 25 minutes",64
"I’ve got a bunch of apples and oats at home, what’s an easy dessert I can make in about an hour?",67
"What can I make with apples, butter, cinnamon, and sugar in about 20 minutes?",71
I have some apples and puff pastry at home — what can I make in about an hour?,72
I have a bunch of apples and about an hour—what’s an easy apple crisp recipe?,73
"I have apples, butter, and brown sugar — what’s a quick 20-minute dessert or side recipe I can make?",76
I have a bunch of apples and about an hour — how do I make canned apple pie filling?,78
What’s an easy apple pie recipe I can make in about 1 hour with apples and pie crust?,79
"Quick caramel apple recipe with just apples and store-bought caramels, ready in about 25 minutes",81
What’s an easy German apple cake recipe I can make in about an hour with apples and cinnamon?,82
"Quick apple cinnamon muffins recipe — I have apples, flour, milk, and eggs, and I want something I can bake in under an hour.",86
"Quick apple dessert I can make in about 35 minutes with apples, flour, eggs, and cinnamon sugar",88
Quick 30 minute dessert idea with apple pie filling and cinnamon?,89
I have apples and butter at home—what's a quick muffin recipe I can make in about 45 minutes?,90
I have a bunch of apples and cinnamon — what’s a quick baked apple dessert I can make in about an hour?,91
"I have apples, celery, and walnuts — what’s a quick salad recipe I can make in about 20 minutes?",92
I have a few apples and cinnamon—what's a quick homemade applesauce recipe I can make in about 25 minutes?,95
"Quick easy dessert with apples and oats — I’ve got apples, brown sugar, cinnamon, and butter, and I want something I can bake in about an hour.",98
"Quick 20-minute dessert with apples, butter, and cinnamon?",102
What can I make with apples and puff pastry in about an hour?,103
I have some apples and butter at home and about an hour — what’s an easy dessert I can make?,104
Quick 20-minute recipe with apples and cinnamon for a warm dessert?,107
How do I make canned apple pie filling at home with a bunch of apples and about an hour?,109
"Quick easy apple pie recipe with store-bought pie crust, apples, sugar, and cinnamon?",110
"Quick caramel apple recipe for about 6 apples, using store-bought caramels — how long does it take?",112
"Quick German apple cake recipe with apples, cinnamon, and vanilla — about an hour to make?",113
I have apples and cinnamon on hand — can you suggest an easy muffin recipe that takes about 45 minutes?,117
Quick apple dessert I can make in about 35 minutes with apples and cinnamon sugar?,119
"Need a quick dessert recipe in about 30 minutes — I have apple pie filling and cinnamon, and I want something easy like apple crisp.",120
"Quick apple muffin recipe I can make in about 45 minutes with apples, flour, butter, and eggs?",121
What can I make with apples and cinnamon that's an easy baked dessert and takes about an hour?,122
Looking for a quick 20-minute apple salad recipe with celery and walnuts—any easy Waldorf salad ideas?,123
I have a couple apples and want a quick 10-minute dessert in the microwave—what can I make?,124
"Quick apple cinnamon muffin recipe with oats—something I can make in about 35 minutes, and I already have apples and oats.",126
What’s a quick 1-hour dinner I can make with pork chops and applesauce?,127
"Need a quick muffin recipe for about 45 minutes — I have carrots, apples, raisins, and walnuts. Any easy breakfast bake ideas?",129
"Need a quick dessert recipe with apples and oats, something easy in about an hour?",130
"What’s a quick apple pancake recipe I can make in about 35 minutes with shredded apples, milk, eggs, and cinnamon?",131
I’ve got some stale bread and apples — what’s a good cozy dessert I can make in about an hour?,134
